# ----------------------------------------
# Reports snapshot
# Account: FleaFind
# Property: FleaFind
# ----------------------------------------
#  
# Start date: 20260708
# End date: 20260804
Active users,New users,Average engagement time per active user,Event count
522,499,48.934865900383144,4801

#  
# Start date: 20260708
# End date: 20260804
Page title and screen class,Views,Active users,Event count,Bounce rate
Flohmarkt Aarau am 1. August 2026 – Öffnungszeiten & Infos,6,4,13,0.6
Flohmarkt Baden 2026 - Termine & Standorte | FleaFind,6,2,6,0
Flohmarkt GZ Seebach – All Dates 2026,6,1,6,0
Flohmarkt Gallusplatz – Alle Termine 2026,6,6,22,0.5
Flohmarkt Kanzlei am 25. Juli 2026 – Öffnungszeiten & Infos,6,4,10,0
Flohmarkt Münsterplatz am 18. Juli 2026 – Öffnungszeiten & Infos,6,3,9,0
Flohmarkt Petersplatz am 1. August 2026 – Öffnungszeiten & Infos,6,3,9,0
Flohmarkt Vogesenplatz am 1. August 2026 – Öffnungszeiten & Infos,6,4,13,0.2
Flohmarkt Zofingen – Alle Termine 2026,6,2,9,0
Flohmarkt heute in St. Gallen — Aktuelle Termine | FleaFind,6,4,15,0
Flohmi am See Bern am 23. August 2026 – Öffnungszeiten & Infos,6,4,12,0.25
"Gaenggali-Markt on August 1, 2026 – Opening Hours & Info",6,2,6,0
Luzerner Flohmarkt Vögeligärtli am 1. August 2026 – Öffnungszeiten & Infos,6,3,7,0
"Marche de Rumine (Vendredi) on July 17, 2026 – Opening Hours & Info",6,2,13,0.25
Marchés aux puces à Bern 2026 - Dates et lieux | FleaFind,6,3,8,0
Mercatini delle pulci Svizzera 2026 — Tutte le città e date | FleaFind,6,2,6,0.5
"Quartierflohmarkt St. Johann on August 8, 2026 – Opening Hours & Info",6,2,6,0
"Rosenhof-Markt on July 18, 2026 – Opening Hours & Info",6,2,8,0
Strandgut-Flohmarkt Neubad am 6. September 2026 – Öffnungszeiten & Infos,6,3,13,0
"13 Flohmärkte am Samstag, 18. Juli 2026 | FleaFind",5,1,7,0
20 Flohmärkte am 11. Juli - 12. Juli 2026 | FleaFind,5,2,8,0
21 Flohmärkte am 24. Juli - 30. Juli 2026 | FleaFind,5,1,7,0
Floh- und Antiquitaetenmarkt (Schadaumaerit) – Alle Termine 2026,5,2,10,0
Flohmarkt Bürkliplatz am 18. Juli 2026 – Öffnungszeiten & Infos,5,3,7,0
"Flohmarkt Petersplatz on August 1, 2026 – Opening Hours & Info",5,3,9,0.3333333333333333
Flohmarkt Rathausplatz Wettingen – Alle Termine 2026,5,4,16,0.25
"Flohmarkt Vogesenplatz on August 1, 2026 – Opening Hours & Info",5,3,8,0
Flohmarkt Zürich Sonntag - Termine 2026 | FleaFind,5,2,6,0
Flohmarkt heute in Winterthur — Aktuelle Termine | FleaFind,5,3,5,0
Marche de Rumine – Alle Termine 2026,5,2,10,0
"Marché aux puces de Plainpalais (Mittwoch) on July 15, 2026 – Opening Hours & Info",5,4,16,0.8333333333333334
Mercatini delle pulci in Svizzera 2026 — Date e orari verificati | FleaFind,5,3,7,0.3333333333333333
PROGR Vintage Flea Market am 15. August 2026 – Öffnungszeiten & Infos,5,3,8,0
Quartier-Flohmarkt Areal Bach – Alle Termine 2026,5,2,8,0
"0 Flohmärkte am Samstag, 1. August 2026 | FleaFind",4,1,4,0
0 Flohmärkte am Sonntag in Aarau | FleaFind,4,1,4,0
0 Flohmärkte am Sonntag in Baden | FleaFind,4,1,4,0
0 flea markets on Sunday in Basel | FleaFind,4,1,4,0
18 Flohmärkte am 31. Juli - 2. August 2026 | FleaFind,4,2,8,0
2 Flohmärkte am Wochenende in Basel — 17. Juli - 19. Juli 2026 | FleaFind,4,2,4,0
2 flea markets on 4 August - 10 August 2026 in Geneva | FleaFind,4,1,4,1
2 flea markets this weekend in Basel — 17 July - 19 July 2026 | FleaFind,4,1,6,0
22 Flohmärkte am 21. Juli - 27. Juli 2026 | FleaFind,4,1,5,0
3 Flohmärkte am 11. Juli - 12. Juli 2026 | FleaFind,4,1,7,0
3 flea markets on 19 July - 25 July 2026 in Basel | FleaFind,4,1,6,0
"3 mercatini il domenica, 2 agosto 2026 | FleaFind",4,2,6,0
4 flea markets on 4 August - 10 August 2026 in Zurich | FleaFind,4,1,4,1
6 Flohmärkte am 25. Juli - 31. Juli 2026 | FleaFind,4,2,4,0
Alpin-Flohmi St. Gallen – Alle Termine 2026,4,2,6,0.3333333333333333
Brocante de Carouge le 6 septembre 2026 – Horaires et infos,4,2,8,0.5
"Brocante de Carouge on August 2, 2026 – Opening Hours & Info",4,1,6,0
Coffre Ouvert am 8. August 2026 – Öffnungszeiten & Infos,4,1,6,0
Fete Livres & Disques Ouchy am 12. Juli 2026 – Öffnungszeiten & Infos,4,2,5,0
Flea Markets in Bern This Weekend — Dates & Info | FleaFind,4,2,9,0.5
Flea Markets in Genève 2026 - Dates & Locations | FleaFind,4,3,7,0.6666666666666666
Flea Markets in Nyon 2026 - Dates & Locations | FleaFind,4,2,10,0.6666666666666666
Flea market Thun Sunday - Dates 2026 | FleaFind,4,1,6,0
Flea market Zurich - 24.-26. July 2026,4,2,9,0.3333333333333333
Flea market today in Basel — Current dates | FleaFind,4,2,6,0.5
Floh- und Trödlermarkt Winterthur Altstadt am 12. September 2026 – Öffnungszeiten & Infos,4,2,5,0
Floh- und Trödlermarkt Winterthur Altstadt le 12 septembre 2026 – Horaires et infos,4,2,5,0
Flohmarkt Basel Sonntag - Termine 2026 | FleaFind,4,1,4,0
Flohmarkt Bürkliplatz am 15. August 2026 – Öffnungszeiten & Infos,4,2,4,0
"Flohmarkt Bürkliplatz on July 11, 2026 – Opening Hours & Info",4,2,5,0
Flohmarkt Chur Samstag - Termine 2026 | FleaFind,4,1,6,0
Flohmarkt Dampfzentrale am 25. Oktober 2026 – Öffnungszeiten & Infos,4,1,7,0
